Input File Name,Date Created,Time Range[min],m/z Range,Noise Limit[cts],a
GrobMix_VF200_GC.csv,20240701_093240,[2-15],[50-200],0.0,1.0
RT(ms),RT(min),TIC[cts],TIC[cts] denoised,Difference,x,y,H,S,L,R,G,B
141154.0,2.352566719055176,17078.0,17078.0,8.650440216064453,75.0,4.0,0.5639733438250351,0.7442409931612047,0.9809913635253906,246.5453110444062,250.99088854437986,253.76028435354303
141433.0,2.3572165966033936,15751.0,15751.0,9.619702339172363,73.0,4.0,0.5661434840304798,0.7486499447108067,0.9824683666229248,247.18254411744422,251.21982377597843,253.87632286024743
141712.0,2.3618667125701904,16828.0,16828.0,9.465880393981934,127.0,8.0,0.5006659163780023,0.6627450980392157,0.9812696576118469,247.05833482742312,253.36389563152576,253.3891905546188
141992.0,2.3665332794189453,15278.0,15278.0,8.948334693908691,75.0,4.0,0.5639733438250351,0.7442409931612047,0.9829948544502258,247.43642664953978,251.41344480867144,253.8909491200754
142271.0,2.371183395385742,15315.0,15315.0,10.091926574707031,74.0,3.0,0.5645947490624071,0.751520309675953,0.982953667640686,247.38646568012965,251.38774964740352,253.91990481662023
142550.0,2.37583327293396,14538.0,14538.0,8.178522109985352,76.0,4.0,0.5628787055125736,0.7420888667791858,0.983818531036377,247.81166298293653,251.6253255830399,253.93578784561572
142830.0,2.380500078201294,15430.0,15430.0,10.023879051208496,71.0,5.0,0.5687786350843935,0.7481567764122057,0.9828256964683533,247.34403934975288,251.19281653932254,253.8970658491073
143109.0,2.3851499557495117,15807.0,15807.0,7.725856781005859,58.0,229.0,0.9044428436567596,0.682228972286198,0.9824060797691345,253.57433628111443,247.45276440114418,250.96252440834837
143388.0,2.3898000717163086,15114.0,15114.0,9.514904975891113,165.0,77.0,0.3983426974737801,0.3488433130432327,0.9831774234771729,249.21378993800175,252.2066960353564,250.3811914719283
143668.0,2.3944666385650635,15719.0,15719.0,9.81210994720459,74.0,4.0,0.5650616185125749,0.7464281213938389,0.9825040102005005,247.20835040764624,251.26869808060738,253.868694794609
143947.0,2.3991167545318604,14736.0,14736.0,9.291648864746094,75.0,3.0,0.5635125225608323,0.7493480442020789,0.9835981130599976,247.68338474587222,251.56297177377627,253.95165291472654
144226.0,2.403766632080078,15186.0,15186.0,8.691540718078613,165.0,76.0,0.39983212500875426,0.35331135271448555,0.98309725522995,249.16695752071723,252.21264264655724,250.3821638048702
144506.0,2.408433437347412,15153.0,15153.0,9.447076797485352,76.0,4.0,0.5628787055125736,0.7420888667791858,0.9831339716911316,247.5075593633661,251.4825595020071,253.890766199111
144785.0,2.41308331489563,14621.0,14621.0,8.83294677734375,77.0,4.0,0.5617777520620542,0.7399720476448116,0.9837261438369751,247.77940601808086,251.64447105017393,253.92092733877644
145064.0,2.4177334308624268,14171.0,14171.0,8.02403450012207,77.0,4.0,0.5617777520620542,0.7399720476448116,0.9842270016670227,248.0016330672332,251.74774362009444,253.95413778294838
145344.0,2.4223999977111816,14428.0,14428.0,9.490572929382324,76.0,5.0,0.5633396726488251,0.736973246157356,0.9839409589767456,247.8869982228342,251.62902207440072,253.92289085530606
145623.0,2.4270501136779785,15936.0,15936.0,9.869842529296875,75.0,4.0,0.5639733438250351,0.7442409931612047,0.9822624921798706,247.11068549462126,251.25898228466733,253.84318551711274
145902.0,2.4316999912261963,15048.0,15048.0,9.495721817016602,72.0,4.0,0.5672188977378395,0.7509061551388774,0.9832508563995361,247.52182445104395,251.3491441537093,253.93611231271947
146182.0,2.436366558074951,15010.0,15010.0,9.88052749633789,72.0,5.0,0.567703991482071,0.7458510127227463,0.9832931756973267,247.56225533730816,251.33570744512272,253.91726426832844
146461.0,2.441016674041748,14888.0,14888.0,9.401427268981934,75.0,4.0,0.5639733438250351,0.7442409931612047,0.983428955078125,247.62950655767617,251.50500097065745,253.91926053216758
