Input File Name,Date Created,Time Range[min],m/z Range,Noise Limit[cts],a
GrobMix_VF23_GC.csv,20240701_095712,[2-15],[50-200],0.0,1.0
RT(ms),RT(min),TIC[cts],TIC[cts] denoised,Difference,x,y,H,S,L,R,G,B
444505.0,7.408416748046875,1366.0,1366.0,5.390284061431885,25.0,46.0,0.6430861651205574,0.7262529112106243,0.9986574053764343,254.40899724123597,254.47935423177128,254.90627950074554
444784.0,7.413066864013672,1818.0,1818.0,6.9796295166015625,36.0,1.0,0.5996638166818555,0.8658500278137828,0.9982131719589233,254.14984194671396,254.46704702898057,254.93887575233694
445063.0,7.4177165031433105,1805.0,1805.0,6.786142826080322,156.0,175.0,0.08601043481131534,0.3072117917126884,0.9982259273529053,254.68659056430917,254.55207620849592,254.40863238567252
445343.0,7.4223833084106445,1389.0,1389.0,3.9685113430023193,88.0,9.0,0.5512081911747834,0.6927426283234642,0.9986348152160645,254.41071884777688,254.74484509844945,254.893036912416
445622.0,7.427033424377441,1426.0,1426.0,4.147564888000488,89.0,8.0,0.5496046691821043,0.696285525669204,0.9985984563827515,254.39375837135916,254.7433261075287,254.8914543838441
445901.0,7.431683540344238,1365.0,1365.0,5.645551681518555,88.0,9.0,0.5512081911747834,0.6927426283234642,0.9986584186553955,254.4209072574992,254.74925661351293,254.8948862567525
446181.0,7.436349868774414,1684.0,1684.0,5.180661201477051,155.0,176.0,0.08209356564529845,0.3092076664756307,0.998344898223877,254.70845043737216,254.57600755020562,254.44744765680508
446460.0,7.440999984741211,1774.0,1774.0,8.020407676696777,89.0,9.0,0.5499963749250598,0.6910088796958628,0.9982563853263855,254.2481406865582,254.678286652007,254.8626158298984
446739.0,7.445650100708008,1782.0,1782.0,7.5490522384643555,40.0,5.0,0.5987157716443733,0.8348889747468143,0.9982485771179199,254.18051503320578,254.48455897427397,254.92625929693338
447019.0,7.450316429138184,1784.0,1784.0,10.1071138381958,88.0,9.0,0.5512081911747834,0.6927426283234642,0.9982466101646423,254.24315038181334,254.6722890438826,254.86262080215425
447298.0,7.4549665451049805,1892.0,1892.0,8.35628604888916,88.0,9.0,0.5512081911747834,0.6927426283234642,0.9981404542922974,254.1973282663702,254.6524483662865,254.85430342270146
447577.0,7.459616661071777,1877.0,1877.0,7.905539512634277,167.0,57.0,0.41871889288180403,0.4481754201515175,0.9981551766395569,254.31873489949564,254.74040518667837,254.53476221999202
447857.0,7.464283466339111,1900.0,1900.0,4.392872333526611,155.0,176.0,0.08209356564529845,0.3092076664756307,0.998132586479187,254.6710512893572,254.5216190056159,254.37656781502818
448136.0,7.46893310546875,1610.0,1610.0,6.408560276031494,155.0,176.0,0.08209356564529845,0.3092076664756307,0.9984176158905029,254.7212598030595,254.59463585576415,254.471724301097
448415.0,7.473583221435547,1463.0,1463.0,5.400502681732178,82.0,20.0,0.5637244263065914,0.6473914771768786,0.9985620975494385,254.39595899827296,254.68919105309755,254.87071075194066
448694.0,7.478233337402344,1447.0,1447.0,5.846651077270508,88.0,9.0,0.5512081911747834,0.6927426283234642,0.9985778331756592,254.38612258592195,254.73419507723557,254.88857233366423
448974.0,7.482900142669678,1665.0,1665.0,5.820501327514648,155.0,174.0,0.08499994081446928,0.299608869724142,0.9983635544776917,254.70773125810388,254.58520680034124,254.45768152551886
449253.0,7.487549781799316,1730.0,1730.0,8.107161521911621,155.0,175.0,0.08352384117184013,0.3043955822796083,0.9982996582984924,254.69839487420325,254.56671458940056,254.4344308580279
449532.0,7.492199897766113,1627.0,1627.0,7.90413236618042,88.0,9.0,0.5512081911747834,0.6927426283234642,0.998400866985321,254.3097352413118,254.70111985444902,254.87470692120192
449812.0,7.496866703033447,1771.0,1771.0,5.54777717590332,177.0,24.0,0.4290000967449339,0.6362737544936451,0.9982593655586243,254.27372061458937,254.838555820309,254.5979363505421
450091.0,7.501516819000244,1786.0,1786.0,7.31682825088501,88.0,9.0,0.5512081911747834,0.6927426283234642,0.9982446432113647,254.2423013476698,254.67192141762732,254.8624666901262
450370.0,7.506166458129883,1916.0,1916.0,5.1958417892456055,155.0,175.0,0.08352384117184013,0.3043955822796083,0.9981168508529663,254.66596864919472,254.52013112971997,254.3736252858181
450650.0,7.510833263397217,1603.0,1603.0,7.168569087982178,161.0,167.0,0.11194810967416825,0.2872398443487057,0.9984244704246521,254.71364145013365,254.6378662128296,254.48283846643892
450929.0,7.515483379364014,1823.0,1823.0,4.712705612182617,177.0,25.0,0.4283968245225053,0.631275111224511,0.998208224773407,254.25466602532728,254.83152860911028,254.5836974522322
451208.0,7.5201334953308105,1624.0,1624.0,6.1837687492370605,30.0,38.0,0.6318046183892417,0.7340040971341818,0.9984038472175598,254.29422745657715,254.4192093989571,254.89173462437836
451488.0,7.524799823760986,1651.0,1651.0,7.547116756439209,76.0,0.0,0.5610967913167303,0.762611511060009,0.9983773231506348,254.27066203217743,254.6704197266641,254.9017727746463
451767.0,7.529449939727783,1622.0,1622.0,5.603396415710449,25.0,46.0,0.6430861651205574,0.7262529112106243,0.9984058141708374,254.29824817820628,254.38178949091918,254.8887170489208
